Date,Close,High,Low,Open,Volume
2026-04-02,1789.699951171875,1799.4000244140625,1746.9000244140625,1765.0,10857093
2026-04-06,1792.800048828125,1814.300048828125,1763.4000244140625,1812.0999755859375,8183498
2026-04-07,1830.300048828125,1840.0,1772.0,1788.0999755859375,10057628
2026-04-08,1861.5999755859375,1871.5,1840.199951171875,1864.0,11587604
2026-04-09,1859.4000244140625,1869.9000244140625,1846.0999755859375,1869.9000244140625,10113053
2026-04-10,1870.0,1874.5999755859375,1859.9000244140625,1868.0,5857988
2026-04-13,1870.9000244140625,1893.699951171875,1838.0,1838.0,10371983
2026-04-15,1855.699951171875,1890.9000244140625,1853.5999755859375,1880.5,11049107
2026-04-16,1840.5999755859375,1864.9000244140625,1823.199951171875,1863.5,15871247
2026-04-17,1846.9000244140625,1851.4000244140625,1829.699951171875,1837.0999755859375,7344787
2026-04-20,1846.0999755859375,1865.0,1839.199951171875,1865.0,9243641
2026-04-21,1855.0,1868.9000244140625,1830.0,1830.0,10485373
2026-04-22,1829.0,1857.9000244140625,1825.300048828125,1850.199951171875,5687058
2026-04-23,1841.199951171875,1846.0,1812.0999755859375,1821.800048828125,7489947
2026-04-24,1814.5,1850.699951171875,1807.300048828125,1845.0,6306448
2026-04-27,1820.0999755859375,1828.4000244140625,1814.0,1816.0999755859375,4413769
2026-04-28,1843.800048828125,1852.0,1812.5999755859375,1826.0,10558455
2026-04-29,1888.0999755859375,1900.4000244140625,1845.4000244140625,1848.0,7713013
2026-04-30,1886.800048828125,1906.0,1860.0,1860.0,12709188
2026-05-01,1886.800048828125,1886.800048828125,1886.800048828125,1886.800048828125,0
2026-05-04,1827.0999755859375,1895.300048828125,1821.699951171875,1873.199951171875,10707858
2026-05-05,1806.0999755859375,1846.0,1801.0,1828.0,11407461
2026-05-06,1833.699951171875,1841.5,1813.800048828125,1817.0,5507749
2026-05-07,1826.5999755859375,1843.9000244140625,1821.199951171875,1835.0,7914845
2026-05-08,1834.5,1840.800048828125,1815.199951171875,1820.0,4839183
2026-05-11,1759.800048828125,1819.800048828125,1756.0,1814.0,15803791
2026-05-12,1756.800048828125,1776.5,1751.5,1751.5,11945399
2026-05-13,1789.199951171875,1798.0,1740.5,1740.5,9825413
2026-05-14,1883.5,1889.199951171875,1797.300048828125,1820.0,21279151
2026-05-15,1905.4000244140625,1922.9000244140625,1880.4000244140625,1883.199951171875,15807294
