Date,Close,High,Low,Open,Volume
2026-04-02,1300.800048828125,1305.4000244140625,1259.800048828125,1260.0,12873492
2026-04-06,1306.199951171875,1320.0,1299.0,1301.4000244140625,10208682
2026-04-07,1339.4000244140625,1345.0999755859375,1293.5,1302.0,15355792
2026-04-08,1346.199951171875,1376.9000244140625,1331.0,1349.0,16030133
2026-04-09,1331.5999755859375,1337.5,1314.0,1329.9000244140625,14894607
2026-04-10,1292.5,1318.9000244140625,1283.300048828125,1318.0,19233369
2026-04-13,1276.800048828125,1289.0,1265.699951171875,1272.0,10366082
2026-04-15,1305.300048828125,1322.5,1300.5,1306.300048828125,12098912
2026-04-16,1319.199951171875,1331.0,1309.0,1322.0999755859375,18527029
2026-04-17,1318.699951171875,1328.300048828125,1306.0999755859375,1313.0,12064048
2026-04-20,1312.5999755859375,1324.9000244140625,1308.0999755859375,1320.0,7172300
2026-04-21,1313.199951171875,1325.0,1299.300048828125,1310.0,10057440
2026-04-22,1268.5999755859375,1297.699951171875,1255.9000244140625,1295.0,20088378
2026-04-23,1240.5999755859375,1265.699951171875,1226.0,1254.0,14792854
2026-04-24,1154.5999755859375,1223.9000244140625,1152.199951171875,1200.0,42078914
2026-04-27,1170.300048828125,1179.9000244140625,1154.5,1154.5999755859375,19579883
2026-04-28,1152.0999755859375,1169.4000244140625,1149.800048828125,1162.699951171875,12720276
2026-04-29,1167.5,1178.199951171875,1156.800048828125,1158.5,8303109
2026-04-30,1181.800048828125,1189.800048828125,1159.5999755859375,1167.5,12205669
2026-05-01,1181.800048828125,1181.800048828125,1181.800048828125,1181.800048828125,0
2026-05-04,1168.4000244140625,1195.0,1165.199951171875,1195.0,7735811
2026-05-05,1178.0999755859375,1185.199951171875,1160.0999755859375,1169.5,8164108
2026-05-06,1167.199951171875,1191.5,1164.0999755859375,1187.0,9856963
2026-05-07,1162.699951171875,1175.4000244140625,1159.199951171875,1173.0,12013987
2026-05-08,1179.199951171875,1183.5,1158.800048828125,1161.0,7582770
2026-05-11,1177.0,1187.0,1172.0999755859375,1176.0,7336288
2026-05-12,1140.300048828125,1162.0,1123.0,1162.0,16891948
2026-05-13,1123.0999755859375,1142.5999755859375,1121.0,1136.5999755859375,6664111
2026-05-14,1095.0,1121.9000244140625,1089.0,1119.800048828125,16914842
2026-05-15,1119.0,1133.199951171875,1101.5999755859375,1102.0,17482450
