Date,Close,High,Low,Open,Volume
2026-04-02,1215.800048828125,1222.0999755859375,1187.5999755859375,1196.0,20851722
2026-04-06,1231.4000244140625,1234.4000244140625,1200.5,1213.0,10058414
2026-04-07,1245.5,1250.4000244140625,1216.5999755859375,1229.0,25600557
2026-04-08,1309.199951171875,1333.5,1292.4000244140625,1310.0,25148651
2026-04-09,1281.300048828125,1308.0,1275.9000244140625,1299.9000244140625,22923062
2026-04-10,1321.9000244140625,1324.0,1288.5,1289.0,18174755
2026-04-13,1351.0999755859375,1357.0,1296.699951171875,1304.9000244140625,30572141
2026-04-15,1348.0999755859375,1364.800048828125,1338.0,1358.0,23827473
2026-04-16,1345.5,1366.9000244140625,1340.199951171875,1352.0,24017236
2026-04-17,1346.800048828125,1352.9000244140625,1334.0,1347.0,18151993
2026-04-20,1356.199951171875,1376.4000244140625,1353.0,1364.699951171875,21551520
2026-04-21,1388.4000244140625,1393.0999755859375,1360.0,1368.0,23312455
2026-04-22,1367.5999755859375,1380.0999755859375,1365.0,1380.0,13613487
2026-04-23,1348.0,1354.0,1343.5,1348.4000244140625,20111792
2026-04-24,1326.199951171875,1348.800048828125,1324.0,1336.300048828125,14056743
2026-04-27,1314.0999755859375,1335.9000244140625,1310.9000244140625,1327.9000244140625,15385625
2026-04-28,1292.0,1317.699951171875,1286.699951171875,1314.300048828125,16774778
2026-04-29,1281.0,1296.800048828125,1276.199951171875,1294.699951171875,11716030
2026-04-30,1263.4000244140625,1272.199951171875,1259.0,1261.0,17740110
2026-05-01,1263.4000244140625,1263.4000244140625,1263.4000244140625,1263.4000244140625,0
2026-05-04,1270.800048828125,1282.199951171875,1264.300048828125,1264.300048828125,14597051
2026-05-05,1251.300048828125,1266.699951171875,1245.5,1264.0,24447935
2026-05-06,1279.5,1282.800048828125,1252.0999755859375,1262.0,22909586
2026-05-07,1279.0,1294.0,1273.199951171875,1284.699951171875,25028552
2026-05-08,1264.800048828125,1279.5999755859375,1261.199951171875,1279.5999755859375,11137424
2026-05-11,1266.4000244140625,1275.699951171875,1252.0,1259.4000244140625,18980488
2026-05-12,1240.300048828125,1259.9000244140625,1236.300048828125,1256.0,21110708
2026-05-13,1235.5999755859375,1249.199951171875,1227.199951171875,1238.300048828125,19490295
2026-05-14,1246.0,1256.699951171875,1236.0,1239.0999755859375,16535600
2026-05-15,1244.5,1258.0,1242.0,1246.5999755859375,11745614
