Date,Close,High,Low,Open,Volume
2026-04-02,292.8500061035156,293.6499938964844,288.3999938964844,290.25,18082775
2026-04-06,294.8500061035156,295.3500061035156,290.25,293.0,18047063
2026-04-07,298.45001220703125,299.0,292.75,294.1499938964844,26963485
2026-04-08,302.45001220703125,304.6000061035156,301.54998779296875,303.8999938964844,22310207
2026-04-09,303.0,304.3999938964844,301.25,301.5,17691477
2026-04-10,304.25,305.3999938964844,302.6000061035156,303.0,17744386
2026-04-13,298.6499938964844,301.45001220703125,298.1000061035156,300.0,16522014
2026-04-15,302.04998779296875,304.0,300.54998779296875,300.70001220703125,18701403
2026-04-16,303.3999938964844,305.3500061035156,301.8500061035156,302.95001220703125,16512053
2026-04-17,306.79998779296875,309.95001220703125,303.8500061035156,303.8500061035156,35111203
2026-04-20,305.0,307.95001220703125,304.45001220703125,307.0,13540471
2026-04-21,309.6499938964844,311.1000061035156,304.54998779296875,305.0,24411865
2026-04-22,305.5,310.54998779296875,305.1000061035156,310.0,24500511
2026-04-23,305.29998779296875,306.3500061035156,303.25,304.0,10701849
2026-04-24,301.6000061035156,306.6499938964844,301.1000061035156,306.6499938964844,17011704
2026-04-27,303.8500061035156,305.6499938964844,302.8500061035156,303.6499938964844,14382348
2026-04-28,304.45001220703125,305.79998779296875,302.54998779296875,304.3999938964844,12907339
2026-04-29,316.25,317.5,305.1000061035156,305.1000061035156,31199038
2026-04-30,314.8999938964844,317.5,313.29998779296875,316.25,11541956
2026-05-01,314.8999938964844,314.8999938964844,314.8999938964844,314.8999938964844,0
2026-05-04,311.1000061035156,317.8999938964844,310.5,317.8999938964844,20245091
2026-05-05,311.45001220703125,313.70001220703125,309.6499938964844,311.1000061035156,26795704
2026-05-06,310.70001220703125,313.6000061035156,309.25,312.79998779296875,20287609
2026-05-07,307.3999938964844,311.6499938964844,307.0,311.45001220703125,25718615
2026-05-08,307.45001220703125,308.8999938964844,305.70001220703125,308.8999938964844,17739844
2026-05-11,305.8500061035156,308.0,305.1499938964844,307.0,14968661
2026-05-12,300.70001220703125,306.25,300.1000061035156,305.3500061035156,15968338
2026-05-13,304.45001220703125,305.79998779296875,301.04998779296875,302.0,13024778
2026-05-14,307.20001220703125,309.20001220703125,304.8500061035156,305.0,11113377
2026-05-15,309.45001220703125,312.04998779296875,306.29998779296875,307.20001220703125,11954564
