Date,Close,High,Low,Open,Volume
2026-04-02,1350.5,1358.199951171875,1328.0,1357.0,21280051
2026-04-06,1304.699951171875,1359.0,1290.0,1359.0,29274881
2026-04-07,1304.5999755859375,1308.300048828125,1291.0,1295.0,28388922
2026-04-08,1347.800048828125,1350.5999755859375,1326.199951171875,1349.0,21817543
2026-04-09,1330.0,1350.0,1326.300048828125,1346.0,20725390
2026-04-10,1350.199951171875,1352.300048828125,1331.5,1337.0,19364461
2026-04-13,1315.0999755859375,1327.5999755859375,1310.0,1321.199951171875,28753269
2026-04-15,1344.0999755859375,1347.0,1334.199951171875,1337.0,15313779
2026-04-16,1343.300048828125,1353.800048828125,1330.0,1352.0,30211012
2026-04-17,1365.0,1368.4000244140625,1340.0,1340.0,13869105
2026-04-20,1363.300048828125,1373.0,1352.800048828125,1363.199951171875,13614733
2026-04-21,1353.300048828125,1369.800048828125,1350.0999755859375,1359.0,27293629
2026-04-22,1362.0999755859375,1366.0,1349.0999755859375,1350.300048828125,9525953
2026-04-23,1343.4000244140625,1355.5,1340.699951171875,1346.0,16385079
2026-04-24,1327.800048828125,1345.9000244140625,1325.0,1340.0,11744802
2026-04-27,1365.800048828125,1371.5999755859375,1311.0,1313.0,24673098
2026-04-28,1388.9000244140625,1395.199951171875,1357.0,1358.0,41027699
2026-04-29,1425.4000244140625,1433.800048828125,1391.300048828125,1392.0,30542143
2026-04-30,1430.800048828125,1437.0,1393.0999755859375,1409.0,30957881
2026-05-01,1430.800048828125,1430.800048828125,1430.800048828125,1430.800048828125,0
2026-05-04,1463.0999755859375,1467.4000244140625,1433.4000244140625,1433.4000244140625,24035700
2026-05-05,1463.5999755859375,1473.4000244140625,1450.0,1460.0,23543341
2026-05-06,1437.9000244140625,1473.300048828125,1427.5,1463.0,14221786
2026-05-07,1436.199951171875,1449.5,1430.300048828125,1438.800048828125,19816903
2026-05-08,1435.199951171875,1442.800048828125,1417.5,1426.0,8663105
2026-05-11,1388.199951171875,1428.0,1382.0,1420.0,15261787
2026-05-12,1364.0,1393.5,1360.300048828125,1392.0,24357500
2026-05-13,1358.800048828125,1372.4000244140625,1352.4000244140625,1361.4000244140625,13797989
2026-05-14,1361.800048828125,1378.0,1358.4000244140625,1365.199951171875,17303059
2026-05-15,1336.4000244140625,1364.800048828125,1329.199951171875,1356.800048828125,19976192
